Property,Acuity Scheduling,Apple iCloud,Cal.com,Calendly,Dialpad,Fathom,Fireflies,Google,Google Calendar,Google Meet,GoTO,Granola,HubSpot,lemcal,Microsoft Outlook,Microsoft Teams,Ring Central,Salesforce,SavvyCal,SimpleMeet.me,SquareUp,Update.ai,Webex,Zoho Calendar,Zoho Meeting,Zoom,Zoom Calendar
calendar_busy_start_gte,,,,X,,,,X,X,X,,,,,X,X,,,,,,,,X*,,,
calendar_busy_end_lt,,,,X,,,,X,X,X,,,,,X,X,,,,,,,,X*,,,
calendar_busy_limit,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
calendar_busy_offset,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
calendar_busy_user_id,,,,X,,,,,,,,,,,X,X,,,,,,,,X,,,
calendar_busy_calendar_id,,,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,
calendar_calendar_limit,X,,,,,,,X,X,X,,,,X,X,X,,X,,,,,X,X,,,X
calendar_calendar_offset,X,,,,,,,X,X,X,,,,X,X,X,,X,,,,,X,X,,,X
calendar_calendar_query,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,X
calendar_calendar_updated_gte,,,,,,,,,,,,,,,,,,X,,,,,,X,,,
calendar_calendar_sort_by_name,,,,,,,,,,,,,,,,,,X,,,,,,,,,
calendar_calendar_sort_by_created_at,,,,,,,,,,,,,,,,,,X,,,,,X,,,,
calendar_calendar_sort_by_updated_at,,,,,,,,,,,,,,,,,,X,,,,,X,,,,
calendar_calendar_order,,,,,,,,,,,,,,,,,,X,,,,,,,,,
calendar_event_query,X,,X,X,,X,,X,X,X,,,,,,,X,X,,,,,X,,,,X
calendar_event_start_gte,X,X,,X,,,,X,X,X,,,,,X,X,,,,,,,X,X,,X,X
calendar_event_end_lt,X,X,,X,,,,X,X,X,,,,,X,X,,,,,,,X,X,,X,X
calendar_event_limit,X,,X,X,X,X,,X,X,X,,,,X,X,X,X,X,X,,X,X,X,X,X,X,X
calendar_event_order,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,
calendar_event_calendar_id,X,X*,X,,,,,X,X,X,,,,X,X,X,,,,,,,X,X,,,X*
calendar_event_offset,,,X,X,X,X,,X,X,X,,,,X,X,X,X,X,X,,X,X,X,X,X,X,X
calendar_event_sort_by_created_at,,,,X,,,,,,,,,,,X,,,X,,,,,,,,,X
calendar_event_company_id,,,,X,,,,,,,,,,,,,,,,,,,,,,,
calendar_event_updated_gte,,,,,X,X,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,,,
calendar_event_user_id,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
calendar_event_sort_by_updated_at,,,,,,,,X,X,X,,,,,X,,,X,,,,,,,,,X
calendar_event_expand,,,,,,,,X,X,X,,,,,X,X,,,,,,,,X,,X,X
calendar_event_sort_by_name,,,,,,,,,,,,,,,,,,X,,,,,,,,,
calendar_link_limit,X,,,X,,,,,,,,,X,X,,,,,X,X,X,,,,,,X
calendar_link_offset,X,,,X,,,,,,,,,X,X,,,,,X,X,X,,,,,,X
calendar_link_sort_by_updated_at,,,,X,,,,,,,,,,,,,,,,,,,,,,,
calendar_link_sort_by_created_at,,,,X,,,,,,,,,,,,,,,,,,,,,,,
calendar_link_sort_by_name,,,,X,,,,,,,,,,,,,,,,,,,,,,,
calendar_link_user_id,,,,,,,,,,,,,X,,,,,,,,,,,,,,
calendar_link_query,,,,,,,,,,,,,,,,,,,,,,,,,,,X
calendar_recording_query,,,,,,X,,,,,,,,,,,,,,,,,X,,,,X
calendar_recording_updated_gte,,,,,,X,X,X,X,X,,X,,,,X,,,,,,X,,,,,X
calendar_recording_start_gte,,,,,,X,,X,X,X,,X,,,,X,,,,,,X,X,,,,X
calendar_recording_end_lt,,,,,,X,,X,X,X,,X,,,,X,,,,,,X,X,,,,X
calendar_recording_limit,,,,,,X,X,X,X,X,,X,,,,X,,,,,,X,X,,X,,X
calendar_recording_offset,,,,,,X,X,X,X,X,,X,,,,X,,,,,,X,X,,X,,X
calendar_recording_user_id,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
calendar_recording_order,,,,,,,,,,,,,,,,X,,,,,,,,,,,
calendar_recording_event_id,,,,,,,,,,,,,,,,X*,,,,,,,X,,X,,X*
calendar_webinar_start_gte,,,,,,,,,,,X,,,,,X,,,,,,,X,,,,
calendar_webinar_end_lt,,,,,,,,,,,X,,,,,X,,,,,,,X,,,,
calendar_webinar_limit,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_offset,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_updated_gte,,,,,,,,,,,,,,,,X,,,,,,,X,,,,
calendar_webinar_query,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
calendar_webinar_calendar_id,,,,,,,,,,,,,,,,,,,,,,,X,,,,
calendar_webinar_user_id,,,,,,,,,,,,,,,,,,,,,,,,,,X,
