Property,Acuity Scheduling,Apple iCloud,Cal.com,Calendly,Dialpad,Fathom,Fireflies,Google,Google Calendar,Google Meet,GoTO,Granola,HubSpot,lemcal,Microsoft Outlook,Microsoft Teams,Ring Central,Salesforce,SavvyCal,SimpleMeet.me,SquareUp,Update.ai,Webex,Zoho Calendar,Zoho Meeting,Zoom,Zoom Calendar
calendar_calendar_timezone,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
calendar_event_calendar_id,,X,,X*,,,,X,X,X,,,,,,,,,,,,,,X*,,,
calendar_event_status,,X,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,
calendar_event_notes,,X,,X,,,,X,X,X,,,,,X,X,,X,,,,,,X,X,X,X
calendar_event_timezone,,X,,X*,,,,X,X,X,,,,,X,X,,,,,,,,X,X,X,X
calendar_event_attendees,,X,,X,,,,X,X,X,,,,,X,X,,X,,,,,,X,X,X,X
calendar_event_subject,,X,,,,,,X,X,X,,,,,X,X,,X,,,,,,X,X*,X,X
calendar_event_location,,X,,X,,,,X,X,X,,,,,X,X,,X,,,,,,X,,,X
calendar_event_is_all_day,,X,,,,,,X,X,X,,,,,X,X,,X,,,,,,X,,,X
calendar_event_is_free,,X,,,,,,X,X,X,,,,,X,X,,X,,,,,,X,,X,X
calendar_event_is_private,,X,,,,,,X,X,X,,,,,X,X,,X,,,,,,X,,X,X
calendar_event_recurrence,,X,,,,,,X,X,X,,,,,X,X,,,,,,,,X,,X,X
calendar_event_has_conference,,X,,,,,,X,X,X,,,,,X,X,,,,,,,,X,,,
calendar_event_conference,,X,,,,,,X,X,X,,,,,X,X,,,,,,,,,,,
calendar_event_organizer,,,,X,,,,X,X,X,,,,,,,,,,,,,,,X,,
calendar_event_send_notifications,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
calendar_webinar_subject,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_notes,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_timezone,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_panelists,,,,,,,,,,,X,,,,,X,,,,,,,X,,,X,
calendar_webinar_registrants,,,,,,,,,,,X,,,,,,,,,,,,,,,,
calendar_webinar_is_enabled,,,,,,,,,,,X,,,,,,,,,,,,X,,,X,
calendar_webinar_is_auto_approve,,,,,,,,,,,X,,,,,,,,,,,,X,,,X,
calendar_webinar_panelist_password,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_registrant_password,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_capacity,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_has_qa,,,,,,,,,,,X,,,,,,,,,,,,X,,,X,
calendar_webinar_has_polls,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_has_recording,,,,,,,,,,,X,,,,,,,,,,,,,,,,
calendar_webinar_recurrence,,,,,,,,,,,X,,,,,,,,,,,,,,,X,
calendar_webinar_require_first_name,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_last_name,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_email,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_company,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_job_title,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_address,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_require_phone,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
calendar_webinar_status,,,,,,,,,,,,,,,,X,,,,,,,X,,,,
calendar_webinar_is_webcast,,,,,,,,,,,,,,,,,,,,,,,X,,,,
